u,v,true_S,true_C2,true_C3,true_C4,mean_S_prime,emp_var_S_prime,mean_var_hat,mean_C2_hat,mean_C3_hat,mean_C4_hat
99,112,1,0.000000,-0.000000,0.000000,-0.622939,9655.431390,9485.970469,85.235956,9074.229396,205908.984608
92,198,1,0.000000,-0.000000,0.000000,0.512937,9359.920584,9471.737304,-56.033276,-3724.101166,194846.657383
109,218,1,0.000000,-0.000000,0.000000,0.258860,9260.642015,9471.679718,-105.614777,-473.522063,-189241.252064
70,88,1,0.000000,-0.000000,0.000000,2.544178,9197.377555,9496.012704,-147.353243,3129.426822,312352.281006
79,235,1,0.000000,-0.000000,0.000000,0.662928,9478.530452,9476.948773,0.679112,2266.604301,371561.656750
147,188,1,0.000000,-0.000000,0.000000,0.795197,9404.010853,9476.104189,-36.128097,-3591.149870,-50058.597198
183,215,1,0.000000,-0.000000,0.000000,-0.246531,9504.868443,9472.252372,16.461689,1899.554586,-69558.433756
127,224,1,0.000000,-0.000000,0.000000,2.601983,9396.056681,9511.957432,-55.866209,-5919.412895,141586.110512
194,233,1,0.000000,-0.000000,0.000000,-1.221687,9828.612039,9518.023083,156.651581,2576.375682,-53370.230339
20,209,1,0.000000,-0.000000,0.000000,2.562725,9394.804714,9446.038267,-23.614359,6868.451201,131800.653204
29,113,1,0.000000,-0.000000,0.000000,1.762802,9354.025602,9525.106074,-84.867902,4773.021830,-222352.108782
8,87,1,0.000000,-0.000000,0.000000,1.186687,9275.247772,9526.417739,-125.474214,2765.806229,-122582.041028
4,224,1,0.000000,-0.000000,0.000000,-0.463150,9308.542823,9513.137931,-101.958725,-8267.817323,355078.580441
13,126,1,0.000000,-0.000000,0.000000,1.454532,9455.816622,9471.852474,-7.687361,-771.817821,31967.641356
51,147,1,0.000000,-0.000000,0.000000,4.580355,9579.842996,9470.102521,63.069884,-1800.878429,-628920.283833
62,65,1,0.000000,-0.000000,0.000000,1.834716,9615.286001,9464.420772,76.198348,6330.896629,170545.897291
31,235,1,0.000000,-0.000000,0.000000,3.136000,9342.903642,9446.428567,-48.413213,3175.212712,-289501.927389
48,88,1,0.000000,-0.000000,0.000000,2.040464,9822.760840,9566.938591,128.972640,8574.499426,252646.339162
14,178,2,1.000000,0.000000,-0.000000,3.044240,9703.882333,9528.145298,90.980096,10898.637254,-628372.094386
106,158,10,45.000000,120.000000,210.000000,8.985625,9917.781559,9819.837205,84.850094,-9183.699875,-126303.138359
