u,v,true_S,true_C2,true_C3,true_C4,mean_S_prime,emp_var_S_prime,mean_var_hat,mean_C2_hat,mean_C3_hat,mean_C4_hat
12,15,1,0.000000,-0.000000,0.000000,0.904780,222.417856,223.105314,-0.386806,30.940079,-256.811790
13,14,1,0.000000,-0.000000,0.000000,1.163176,223.873401,221.650541,1.206332,49.826304,-187.712507
12,16,1,0.000000,-0.000000,0.000000,1.429989,231.465863,235.379045,-1.649152,6.815166,-171.320677
11,15,1,0.000000,-0.000000,0.000000,0.954816,224.089580,222.633539,0.706450,0.105453,33.483772
10,13,1,0.000000,-0.000000,0.000000,1.034086,223.551983,221.026554,1.280338,41.232899,-25.169676
16,40,1,0.000000,-0.000000,0.000000,1.158933,248.686997,241.735661,3.567765,27.936395,-104.710021
18,21,1,0.000000,-0.000000,0.000000,1.444689,223.009360,223.520907,0.065445,42.677041,-172.166464
31,47,1,0.000000,-0.000000,0.000000,0.997827,243.565841,241.704581,0.929546,11.971370,-240.517359
3,4,1,0.000000,-0.000000,0.000000,0.930458,227.691957,223.522501,2.052375,54.215660,-7.812575
5,8,1,0.000000,-0.000000,0.000000,0.910136,227.161298,225.525156,0.777177,69.476966,136.873059
4,7,1,0.000000,-0.000000,0.000000,0.925095,226.186667,225.751879,0.182747,18.802782,-312.484069
2,13,1,0.000000,-0.000000,0.000000,1.115845,220.540301,227.583594,-3.457014,41.441818,42.688116
2,11,1,0.000000,-0.000000,0.000000,1.110502,236.867047,230.054438,3.467660,27.547352,-213.731342
9,14,1,0.000000,-0.000000,0.000000,1.124558,227.947110,222.439091,2.824045,4.357241,-98.087554
9,10,1,0.000000,-0.000000,0.000000,1.138007,219.886666,221.558497,-0.757389,44.963231,-189.727688
6,9,1,0.000000,-0.000000,0.000000,1.245071,220.388989,221.467648,-0.386764,20.060743,-114.685871
23,61,2,1.000000,0.000000,-0.000000,1.828971,315.925898,309.237397,4.102333,18.202556,-158.210104
16,60,2,1.000000,0.000000,-0.000000,1.986556,225.185197,232.270269,-2.562612,4.891772,-44.572583
11,14,2,1.000000,0.000000,-0.000000,1.839231,221.971470,224.324997,-0.404994,7.262512,16.848726
31,32,23,253.000000,1771.000000,8855.000000,22.846135,275.603640,263.008588,255.847397,1842.789839,9493.659284
