u,v,true_S,true_C2,true_C3,true_C4,mean_S_prime,emp_var_S_prime,mean_var_hat,mean_C2_hat,mean_C3_hat,mean_C4_hat
6,11,1,0.000000,-0.000000,0.000000,0.419556,3326.822606,3350.155955,-11.788439,-682.919410,16083.285644
26,27,1,0.000000,-0.000000,0.000000,2.197654,3394.655811,3356.864642,20.211599,-872.047981,17867.724267
10,11,1,0.000000,-0.000000,0.000000,1.889282,3340.732721,3344.573380,-1.080278,2800.848369,7255.972062
9,11,1,0.000000,-0.000000,0.000000,0.593932,3439.068603,3348.204453,45.311486,2143.519281,-23326.621756
8,10,1,0.000000,-0.000000,0.000000,-0.014574,3387.138449,3352.462566,17.345334,2525.632456,-3540.122181
8,9,1,0.000000,-0.000000,0.000000,0.730448,3313.636354,3353.153589,-19.857064,1418.703305,-33366.195912
7,11,1,0.000000,-0.000000,0.000000,1.395655,3408.057112,3369.664573,19.472369,-251.499963,51259.386195
7,10,1,0.000000,-0.000000,0.000000,1.513358,3371.130666,3371.644867,0.131347,2057.110956,-9038.974863
7,8,1,0.000000,-0.000000,0.000000,1.582283,3440.702296,3374.418559,33.602536,-603.837336,14785.618613
3,4,1,0.000000,-0.000000,0.000000,1.905976,3265.635071,3353.064012,-42.851086,-392.090616,-17693.676394
6,10,1,0.000000,-0.000000,0.000000,1.170809,3307.174371,3348.178860,-20.402251,349.800977,-1271.790868
6,9,1,0.000000,-0.000000,0.000000,1.749735,3395.153891,3358.240290,19.112719,1584.707032,16381.168901
6,7,1,0.000000,-0.000000,0.000000,1.659882,3463.217754,3373.916287,45.198396,1900.459072,-24372.109467
5,11,1,0.000000,-0.000000,0.000000,1.328254,3352.024364,3347.270292,2.595038,-2273.417042,27780.299575
5,10,1,0.000000,-0.000000,0.000000,2.087268,3372.948681,3348.815497,13.201301,-2156.390679,1163.939318
5,9,1,0.000000,-0.000000,0.000000,0.498458,3284.233525,3353.726243,-34.871358,-39.988671,-31666.934593
5,7,1,0.000000,-0.000000,0.000000,1.245521,3465.601719,3376.469235,44.719143,1239.129596,-24974.405393
5,6,1,0.000000,-0.000000,0.000000,-0.035384,3402.004672,3356.701483,22.669912,2144.446066,-64211.046395
7,30,2,1.000000,0.000000,-0.000000,3.817285,3311.294223,3380.135499,-29.043447,644.604571,77908.228229
4,31,5,10.000000,10.000000,5.000000,5.195955,3388.076639,3379.665219,15.106706,-185.889671,-70262.504367
