u,v,true_S,true_C2,true_C3,true_C4,mean_S_prime,emp_var_S_prime,mean_var_hat,mean_C2_hat,mean_C3_hat,mean_C4_hat
6,11,1,0.000000,-0.000000,0.000000,0.781852,185.494372,188.242848,-1.459518,40.374179,39.383054
26,27,1,0.000000,-0.000000,0.000000,1.408712,187.497020,189.713560,-0.820391,18.861085,3.230489
10,11,1,0.000000,-0.000000,0.000000,1.093526,186.097770,187.800160,-0.800058,46.148141,-102.748720
9,11,1,0.000000,-0.000000,0.000000,1.031691,187.424893,188.295046,-0.418729,32.624221,-37.183356
8,10,1,0.000000,-0.000000,0.000000,0.592105,188.397596,188.628954,-0.236437,38.057416,-28.151199
8,9,1,0.000000,-0.000000,0.000000,0.725568,191.427506,189.591233,0.818577,15.255425,-185.963658
7,11,1,0.000000,-0.000000,0.000000,1.051193,195.502780,193.137119,1.209738,33.150084,-10.142476
7,10,1,0.000000,-0.000000,0.000000,1.169040,187.104552,193.435166,-3.066500,14.491566,9.357229
7,8,1,0.000000,-0.000000,0.000000,1.003534,199.096978,194.297033,2.401746,26.209497,-75.045426
3,4,1,0.000000,-0.000000,0.000000,0.863689,190.358805,189.670526,0.285274,3.515049,-94.835799
6,10,1,0.000000,-0.000000,0.000000,0.998720,191.018198,188.436100,1.290410,38.997832,-203.926058
6,9,1,0.000000,-0.000000,0.000000,1.183429,190.124123,189.646220,0.347489,16.318800,-214.809597
6,7,1,0.000000,-0.000000,0.000000,1.068181,195.770020,194.175503,0.833673,49.822480,191.488545
5,11,1,0.000000,-0.000000,0.000000,0.963030,187.293252,188.233285,-0.487818,-6.430971,-24.553579
5,10,1,0.000000,-0.000000,0.000000,1.317576,189.750035,188.436897,0.865784,38.225010,-336.799852
5,9,1,0.000000,-0.000000,0.000000,1.098740,190.998357,189.534253,0.786297,37.023589,1.480370
5,7,1,0.000000,-0.000000,0.000000,1.218038,192.150412,194.243640,-0.913825,21.626536,-9.546904
5,6,1,0.000000,-0.000000,0.000000,0.878334,186.817749,189.594022,-1.441568,29.182019,-26.203316
7,30,2,1.000000,0.000000,-0.000000,2.115035,199.547165,195.263296,3.321103,11.304643,-40.141467
4,31,5,10.000000,10.000000,5.000000,4.956712,187.969139,195.689647,5.945885,29.287731,17.293027
