u,v,true_S,true_C2,true_C3,true_C4,mean_S_prime,emp_var_S_prime,mean_var_hat,mean_C2_hat,mean_C3_hat,mean_C4_hat
99,112,1,0.000000,-0.000000,0.000000,1.069230,22.649680,22.447386,0.138158,4.347489,-1.768497
92,198,1,0.000000,-0.000000,0.000000,0.884273,21.378668,21.454979,-0.089323,4.063180,1.659257
109,218,1,0.000000,-0.000000,0.000000,1.064320,22.433814,21.734062,0.384104,3.715828,-0.254664
70,88,1,0.000000,-0.000000,0.000000,1.068901,22.021619,22.674275,-0.289504,2.288603,-2.134035
79,235,1,0.000000,-0.000000,0.000000,1.025385,21.590409,21.810595,-0.097079,2.682449,-3.012237
147,188,1,0.000000,-0.000000,0.000000,1.009868,21.350632,21.693752,-0.166577,3.178378,1.288181
183,215,1,0.000000,-0.000000,0.000000,0.981080,21.509772,21.414003,0.038604,2.496248,-2.671473
127,224,1,0.000000,-0.000000,0.000000,1.148117,23.387490,23.359886,0.098830,3.441310,-5.048138
194,233,1,0.000000,-0.000000,0.000000,0.929811,24.558324,24.276331,0.108365,4.142254,-2.697246
20,209,1,0.000000,-0.000000,0.000000,1.016543,20.653822,20.498461,0.086089,2.694653,-2.739651
29,113,1,0.000000,-0.000000,0.000000,1.054899,24.130974,23.931077,0.128905,3.269044,-3.833942
8,87,1,0.000000,-0.000000,0.000000,1.051433,24.612232,24.319113,0.173598,3.481223,-0.292670
4,224,1,0.000000,-0.000000,0.000000,0.920874,24.250061,23.398580,0.389308,3.718155,-4.108452
13,126,1,0.000000,-0.000000,0.000000,0.992602,21.384654,21.250336,0.063487,2.595683,-2.397988
51,147,1,0.000000,-0.000000,0.000000,1.042524,21.643654,21.609328,0.039329,3.000456,-2.295946
62,65,1,0.000000,-0.000000,0.000000,1.048952,20.930868,21.223051,-0.120417,3.359955,1.568245
31,235,1,0.000000,-0.000000,0.000000,1.037109,19.902666,20.520137,-0.289492,3.140110,1.822704
48,88,1,0.000000,-0.000000,0.000000,1.017963,26.136837,26.161511,-0.003194,3.770802,0.279971
14,178,2,1.000000,0.000000,-0.000000,2.146406,24.392414,24.321680,1.265693,2.337213,-2.644774
106,158,10,45.000000,120.000000,210.000000,10.048707,37.229450,37.797830,45.179712,122.481781,232.156411
