u,v,true_S,true_C2,true_C3,true_C4,mean_S_prime,emp_var_S_prime,mean_var_hat,mean_C2_hat,mean_C3_hat,mean_C4_hat
12,15,1,0.000000,-0.000000,0.000000,0.932804,3971.142060,3964.748463,3.165458,3187.883471,39429.798210
13,14,1,0.000000,-0.000000,0.000000,-0.013698,4029.513131,3960.663107,34.431955,2641.829133,-10661.171920
12,16,1,0.000000,-0.000000,0.000000,0.670188,3969.488129,4018.283591,-24.508250,568.232376,-50179.567733
11,15,1,0.000000,-0.000000,0.000000,2.058201,3923.341381,3966.277673,-20.379150,333.505363,30631.529837
10,13,1,0.000000,-0.000000,0.000000,1.509001,3876.676486,3958.369292,-40.462362,2005.513983,18954.523959
16,40,1,0.000000,-0.000000,0.000000,2.281587,4041.823928,4044.820814,-0.036417,-292.767129,-25443.162336
18,21,1,0.000000,-0.000000,0.000000,2.063926,3888.281550,3970.254257,-39.888421,2572.004257,-26176.521141
31,47,1,0.000000,-0.000000,0.000000,0.143002,4239.767397,4048.493476,95.575684,1667.778210,-42728.249413
3,4,1,0.000000,-0.000000,0.000000,0.256863,3983.603139,3968.661064,7.375595,-278.225987,21542.862420
5,8,1,0.000000,-0.000000,0.000000,0.981029,3936.562378,3978.802474,-21.129353,-553.449139,72826.874621
4,7,1,0.000000,-0.000000,0.000000,1.702141,4134.580823,3980.181322,77.797322,-173.473402,65762.008983
2,13,1,0.000000,-0.000000,0.000000,0.031865,3933.546220,3989.730883,-28.107756,-1044.568345,-8488.689187
2,11,1,0.000000,-0.000000,0.000000,1.356049,3951.939328,3997.245764,-22.411808,-1031.484413,-51729.464064
9,14,1,0.000000,-0.000000,0.000000,0.794645,4042.936193,3965.141963,38.815523,-302.943205,37714.004487
9,10,1,0.000000,-0.000000,0.000000,0.532765,3896.221161,3960.791074,-32.409420,1411.086803,-51048.301001
6,9,1,0.000000,-0.000000,0.000000,2.537197,3838.240080,3959.933693,-58.896720,-70.444329,-18454.236736
23,61,2,1.000000,0.000000,-0.000000,0.779628,4395.364907,4332.830462,31.181319,663.263622,68242.029184
16,60,2,1.000000,0.000000,-0.000000,2.801647,3842.689658,4003.765699,-78.014231,-854.191488,68420.416268
11,14,2,1.000000,0.000000,-0.000000,0.980513,3909.386870,3971.914633,-31.273435,2713.096237,-5737.592938
31,32,23,253.000000,1771.000000,8855.000000,22.604193,4013.937208,4135.453668,183.414433,2552.441925,-28035.796277
